code,code_desc,p1,p2,p3,p4,p5
0010,cholera due to vibrio cholerae,,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0011,cholera due to vibrio cholerae el tor,,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0019,"cholera, unspecified",,Cholera,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0020,typhoid fever,,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0021,paratyphoid fever a,,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0022,paratyphoid fever b,,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0023,paratyphoid fever c,,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0029,"paratyphoid fever, unspecified",,Typhoid and paratyphoid fevers,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0030,salmonella gastroenteritis,,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0031,salmonella septicemia,,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00320,"localized salmonella infection, unspecified",Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00321,salmonella meningitis,Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00322,salmonella pneumonia,Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00323,salmonella arthritis,Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00324,salmonella osteomyelitis,Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00329,other localized salmonella infections,Localized salmonella infections,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0038,other specified salmonella infections,,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0039,"salmonella infection, unspecified",,Other salmonella infections,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0040,shigella dysenteriae,,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0041,shigella flexneri,,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0042,shigella boydii,,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0043,shigella sonnei,,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0048,other specified shigella infections,,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0049,"shigellosis, unspecified",,Shigellosis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0050,staphylococcal food poisoning,,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0051,botulism food poisoning,,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0052,food poisoning due to clostridium perfringens (c. welchii),,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0053,food poisoning due to other clostridia,,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0054,food poisoning due to vibrio parahaemolyticus,,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00581,food poisoning due to vibrio vulnificus,Other bacterial food poisoning,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00589,other bacterial food poisoning,Other bacterial food poisoning,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0059,"food poisoning, unspecified",,Other food poisoning (bacterial),Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0060,acute amebic dysentery without mention of abscess,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0061,chronic intestinal amebiasis without mention of abscess,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0062,amebic nondysenteric colitis,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0063,amebic liver abscess,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0064,amebic lung abscess,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0065,amebic brain abscess,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0066,amebic skin ulceration,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0068,amebic infection of other sites,,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0069,"amebiasis, unspecified",,Amebiasis,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0070,balantidiasis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0071,giardiasis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0072,coccidiosis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0073,intestinal trichomoniasis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0074,cryptosporidiosis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0075,cyclosporiasis,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0078,other specified protozoal intestinal diseases,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0079,unspecified protozoal intestinal disease,,Other protozoal intestinal diseases,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00800,"intestinal infection due to e. coli, unspecified",Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00801,intestinal infection due to enteropathogenic e. coli,Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00802,intestinal infection due to enterotoxigenic e. coli,Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00803,intestinal infection due to enteroinvasive e. coli,Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00804,intestinal infection due to enterohemorrhagic e. coli,Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
00809,intestinal infection due to other intestinal e. coli infections,Escherichia coli [E. coli],Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0081,intestinal infection due to arizona group of paracolon bacilli,,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
0082,intestinal infection due to aerobacter aerogenes,,Intestinal infections due to other organisms,Intestinal Infectious Diseases,Infectious And Parasitic Diseases,root
